,,,,,,,,,,
phrase,listen again!,Lyssna igen!,,,,,,,,
noun,dictionary,ett lexikon,lexikonet,dictionaries,lexikon,lexikonen,,,Jag använder mitt lexikon när jag lär mig engelska,
noun,bag,en väska,väskan,bags,väskor,väskorna,,Har du packat väskan?,,
noun,table,ett bord,bordet,tables,bord,borden,,,,
adjective,"other, remaining",övrig,övrigt,övriga,,Jag har varit till Irland. I övrigt har jag inte varit utomlands.,Har du några övriga frågor?,,,
noun,"exercise, practise",en övning,övningen,"exercises, practises",övningar,övningarna,,,Finns det fler övningar i boken?,
noun,"informatino, task",en uppgift,uppgiften,"information, tasks",uppgifter,uppgifterna,Jag gav mina uppgifter till företaget.,,Klassen fick 3 uppgifter i läxa.,
noun,homework,en läxa,läxan,homework,läxor,läxorna,,,,Har du gjort läxorna?
noun,"recess, break",en rast,rasten,"breaks, recess",raster,rasterna,Efter lektionen har eleverna rast i 10 minuter.,,,
adjective,"clear, bright, clear, obvious, ready",klar,klart,klara,,,,,,
noun,"sentence, meaning",en mening,meningen,"sentences, meanings",meningar,meningarna,,,,
verb,"need, want, have to, need to",att behöva,behöver,behövde,har behövt,,,Jag behöver köpa en ny bil.,Hon behövde låna 5000 kronor.,
adverb,"fairly, quite",ganska,"Glaset är ganska fullt, men inte helt fullt. | Jag är ganska bra på matematik.",,,,,,,
adjective,"comfortable, pleasant, nice",skön,skönt,sköna,Soffan är skön att sitta i. Den är så mjuk.,Det är så skönt på sommaren.,De här stolarna är sköna,,,
verb,"walk, go, work, leave, run, progress",att gå,går,gick,har gått,gå!,,Peter går till centrum.,Hur gick det på provet?,
