,,,,,,,,,,,
verb,"practice, train",att öva,övar,övade,har övat,öva!,Jag ska öva på att räkna mattematik idag.,,,Har du övat på att spela piano?,
verb,"do, make, cause",att göra,gör,gjorde,har gjort,gör!,Vad ska du göra idag? | Jag hade mycket att göra igår.,På fabriken gör de möbler.,"Adam tittade på teve, och det gjorde Maria också.",,
verb,use,att använda,använder,använde,har använt,använd!,,,Varför använde du min tandborste?,,Använd den här penseln när du målar.
verb,"happen, take place, occur",att hända,händer,hände,har hänt,,,,Vad hände igår? Berätta.,Jag kan inte förstå att det har hänt!,
noun,habit,en vana,vanan,habits,vanor,vanorna,,Ali har vanan att tvätta på söndagar. Han tvättar varje söndag.,Jag har många vanor.,,
verb,fall asleep,att somna,somnar,somnade,har somnat,somna!,När brukar du somna på kvällarna?,Jag somnade direkt när jag lade mig i sängen.,,,
verb,jog,att jogga,joggar,joggade,har joggat,jogga!,Jag tycker om att jogga.,Hon joggar flera gånger i veckan.,,,
adjective,straight,rak,rakt,raka,En linjal är rak. Den är inte böjd.,,,,,,
verb,"sit, place, put, set, compose",att sätta,sätter,satte,har satt,sätt!,,Hon sätter in batterierna i fjärrkontrollen.,Jag satte mig i fåtöljen.,,
word,startar elektrisk apparat,sätter på,,,,,,,,,
verb,rain,ett regn,regnet,regn,regnen,,Det ska bli regn senare idag.,Regnet öser ner.,,,
noun,"city, town",en stad,staden,"cities, towns",städer,städerna,Stockholm är en stor stad.,,,,
verb,"receive, get, may, have to",att få,får,fick,har fått,,,,Jag fick en ny bil igår!,,
adjective,heavy,tung,tungt,tunga,Den stora stenen var tung att lyfta.,,,,,,
adverb,together,ihop,Kniv och gaffel hör ihop.,,,,,,,,
verb,"am, are, is, be",att vara,är,var,har varit,var!,,,,,
