,,,,,,,,,,
noun,"occasion, time",en gång,gången,"occasions, times",gånger,gångerna,En gång när jag gick i skogen såg jag en björn.,Minns du första gången vi träffades?,Jag har opererats fem gånger.,
verb,fill,att fylla,fyller,fyllde,har fyllt,fyll!,,Jag fyller badkaret med vatten.,Du fyllde inte i papperna som jag bad om.,
noun,boat,en båt,båten,boats,båtar,båtarna,Jag åker båt på Östersjön nu.,Titanic hette den stora båten som sjönk 1912.,,
noun,"lift, elevator",en hiss,hissen,"lifts, elevators",hissar,hissarna,Med en hiss kan man åka upp eller ner i en byggnad.,Jens tog hissen eftersom han hade brutit benet. Han kunde inte gå i trappan.,,
verb,"tell, relate, narrate",att berätta,berättar,berättade,har berättat,berätta!,,,Igår berättade jag för Adam att jag är gravid.,Har han inte berättat för er om mig?
adverb,"something, anything",någonting,"Vi måste göra någonting. Vi kan inte göra ingenting. | Ser du någonting? - Nej, jag ser ingenting!",,,,,,,
noun,"competition, contest",en tävling,tävlingen,"competitions, contests",tävlingar,tävlingarna,Ska vi ha en tävling i vem som kan springa snabbast?,Hon kom på första plats i tävlingen.,Till exempel Fotbolls VM och EM är tävlingar.,
verb,"describe, portray",att beskriva,beskriver,beskrev,har beskrivit,beskriv!,Kan du beskriva hur rånaren såg ut?,Hon beskriver sin pojkvän.,Jag beskrev mitt problem för läraren.,
noun,"end, termination",ett slut,slutet,"ends, terminations",slut,sluten,Varje historia har en början och ett slut.,Man firar nyårsafton i slutet av året.,,
word,in most cases,oftast,Jag åker oftast buss till jobbet. Ibland cyklar jag.,,,,,,,
verb,"retain, keep",att behålla,behåller,behöll,har behållit,behåll!,"Jag tänker behålla skorna, jag tänker inte slänga dem.",När man behåller någonting har man kvar det.,Jag behöll biljetten efter konserten eftersom jag ville ha kvar den som minne.,Hon har behållit alla julkort som hennes mormor skickat till henne.
noun,leaf,ett löv,lövet,leaves,löv,löven,Hon hittade ett stort löv på marken.,,Många träd har löv.,Löven på träden är så fina på hösten.
noun,"season, time of the year",en årstid,årstiden,seasons,årstider,årstiderna,Vintern är en årstid då det brukar snöa i Sverige.,Jag tycker att hösten är den bästa årstiden.,,"Sommar, vinter, vår och höst heter årstiderna."
noun,spring,en vår,våren,springs,vårar,vårarna,,,,
noun,summer,en sommar,sommaren,summers,somrar,somrarna,,,,
noun,"autumn, fall",en höst,hösten,autumns,höstar,höstarna,,,,
noun,winter,en vinter,vintern,winters,vintrar,vintrarna,,,,
